episode,score,lines,pieces,reward
203,-127.5,0,23,-127.5
204,-149.0,0,16,-249.0
205,64.0,0,21,64.0
206,-122.0,0,21,-122.0
207,-4.5,0,23,-104.5
208,-100.0,0,17,-100.0
209,-183.5,0,17,-183.5
210,-170.0,0,20,-270.0
211,-191.0,0,18,-191.0
212,-77.5,0,25,-177.5
213,-162.5,0,27,-162.5
214,-43.0,0,23,-143.0
215,-76.0,0,19,-176.0
216,-147.5,0,22,-147.5
217,-85.0,0,12,-85.0
218,4.0,0,20,-96.0
219,92.0,0,27,92.0
220,-201.0,0,17,-301.0
221,-60.0,0,19,-60.0
222,-213.0,0,16,-213.0
223,-127.5,0,19,-227.5
224,-58.5,0,16,-158.5
225,-114.5,0,20,-114.5
226,-32.0,0,22,-32.0
227,-164.0,0,21,-264.0
228,-0.5,0,21,-0.5
229,131.5,0,18,131.5
230,-84.5,0,17,-184.5
231,-170.0,0,19,-270.0
232,-153.5,0,18,-153.5
233,-134.5,0,19,-134.5
234,-114.0,0,19,-214.0
235,-202.5,0,21,-302.5
236,-87.0,0,18,-187.0
237,-73.5,0,19,-173.5
238,250.0,0,28,150.0
239,-206.5,0,19,-306.5
240,-90.5,0,19,-190.5
241,-98.5,0,21,-198.5
242,-156.5,0,19,-156.5
243,-65.0,0,16,-165.0
244,-133.5,0,21,-133.5
245,17.0,0,22,-83.0
246,-3.0,0,21,-103.0
247,7.5,0,22,-92.5
248,-135.5,0,14,-135.5
249,-124.5,0,23,-224.5
250,-124.0,0,20,-124.0
251,-85.5,0,15,-85.5
252,-160.5,0,21,-260.5
253,-163.0,0,17,-163.0
254,-28.5,0,20,-28.5
255,-193.0,0,22,-193.0
256,-161.0,0,18,-161.0
257,-39.5,0,21,-39.5
258,-63.0,0,14,-163.0
259,163.0,0,27,163.0
260,-184.0,0,19,-184.0
261,-154.5,0,15,-254.5
262,-2.5,0,18,-2.5
263,19.5,0,23,-80.5
264,-140.0,0,10,-140.0
265,-79.5,0,22,-179.5
266,-193.0,0,16,-193.0
267,89.5,0,23,89.5
268,-178.5,0,18,-278.5
269,-139.0,0,18,-239.0
270,-158.0,0,14,-158.0
271,-92.0,0,25,-92.0
272,124.5,0,23,24.5
273,8.5,0,22,8.5
274,-170.5,0,20,-270.5
275,-39.5,0,23,-39.5
276,-120.0,0,16,-120.0
277,-115.0,0,15,-115.0
278,-180.5,0,17,-180.5
279,-101.0,0,18,-101.0
280,-147.5,0,21,-247.5
281,-8.0,0,25,-108.0
282,-111.5,0,20,-111.5
283,-142.0,0,16,-142.0
284,-90.0,0,18,-90.0
285,-161.5,0,12,-161.5
286,-157.0,0,23,-157.0
287,13.0,0,24,13.0
288,-120.5,0,16,-220.5
289,-151.0,0,22,-151.0
290,-26.5,0,13,-26.5
291,-162.0,0,17,-262.0
292,-139.0,0,13,-139.0
293,-189.0,0,16,-189.0
294,-147.0,0,14,-147.0
295,-76.0,0,22,-176.0
296,122.5,0,25,22.5
297,59.0,0,19,-41.0
298,-203.0,0,22,-303.0
299,-10.0,0,20,-10.0
300,-104.5,0,21,-104.5
301,-41.5,0,19,-41.5
302,-123.0,0,18,-123.0
303,84.5,0,24,84.5
304,-93.0,0,11,-93.0
305,-134.0,0,15,-134.0
306,-176.0,0,16,-176.0
307,-163.0,0,20,-263.0
308,92.5,1,20,92.5
309,-118.0,0,15,-218.0
310,-148.0,0,14,-248.0
311,-64.0,0,21,-64.0
312,-93.0,0,15,-93.0
313,-35.0,0,20,-35.0
314,-27.0,0,25,-127.0
315,151.5,0,24,151.5
316,-179.5,0,18,-279.5
317,-102.0,0,17,-202.0
318,-20.5,0,20,-20.5
319,-30.0,0,21,-30.0
320,-32.0,0,18,-132.0
321,-151.5,0,15,-151.5
322,-104.0,0,15,-204.0
323,-103.5,0,16,-103.5
324,-34.0,0,17,-34.0
325,105.5,0,23,5.5
326,-53.0,0,16,-153.0
327,-102.5,0,15,-102.5
328,-142.5,0,17,-142.5
329,-181.0,0,19,-181.0
330,-100.0,0,15,-200.0
331,-139.0,0,17,-139.0
332,156.5,1,23,56.5
333,-231.0,0,19,-231.0
334,118.0,0,19,118.0
335,-45.0,0,19,-145.0
336,-102.0,0,13,-202.0
337,-71.5,0,15,-171.5
338,-51.5,0,23,-151.5
339,-136.5,0,18,-136.5
